MH687978.1 Betacoronavirus sp. strain VZ_BetaCoV_22084_6, complete genome
KF530060.1 Human coronavirus OC43 strain OC43/human/USA/851-15/1985, complete genome
KF530114.1 Human coronavirus NL63 strain NL63/human/USA/891-4/1989, complete genome
KF530113.1 Human coronavirus NL63 strain NL63/human/USA/905-25/1990, complete genome
KF530112.1 Human coronavirus NL63 strain NL63/human/USA/0111-25/2001, complete genome
KF530111.1 Human coronavirus NL63 strain NL63/human/USA/901-24/1990, complete genome
KF530110.1 Human coronavirus NL63 strain NL63/human/USA/838-9/1983, complete genome
KF530109.1 Human coronavirus NL63 strain NL63/human/USA/903-28/1990, complete genome
KF530108.1 Human coronavirus NL63 strain NL63/human/USA/891-6/1989, complete genome
KF530107.1 Human coronavirus NL63 strain NL63/human/USA/911-56/1991, complete genome
KF530106.1 Human coronavirus NL63 strain NL63/human/USA/8712-17/1987, complete genome
KF530105.1 Human coronavirus NL63 strain NL63/human/USA/012-31/2001, complete genome
KF530104.1 Human coronavirus NL63 strain NL63/human/USA/904-20/1990, complete genome
KF514433.1 Human coronavirus 229E strain 229E/human/USA/933-40/1993, complete genome
KF514432.1 Human coronavirus 229E strain 229E/human/USA/932-72/1993, complete genome
KF514430.1 Human coronavirus 229E strain 229E/human/USA/933-50/1993, complete genome
KF514423.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c3P20/2009, complete genome
KF514422.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.3P20/2010, complete genome
KF514421.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.2P20/2010, complete genome
KF514420.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5P10/2009, complete genome
KF514419.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1P10/2009, complete genome
KF514418.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c3P1/2009, complete genome
KF514417.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.3P20/2010, complete genome
KF514416.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.8P20/2010, complete genome
KF514415.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.7P20/2010, complete genome
KF514414.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5P20/2009, complete genome
KF514413.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.6P20/2010, complete genome
KF514412.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c13P20/2009, complete genome
KF514411.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c13P10/2009, complete genome
KF514410.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c8P20/2009, complete genome
KF514409.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c2P20/2009, complete genome
KF514408.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c2P1/2009, complete genome
KF514407.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.7P20/2010, complete genome
KF514406.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c13P1/2009, complete genome
KF514405.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.2P20/2010, complete genome
KF514404.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.9P20/2010, complete genome
KF514403.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.1P20/2010, complete genome
KF514402.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.6P20/2010, complete genome
KF514401.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.5P20/2010, complete genome
KF514400.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.8P20/2010, complete genome
KF514399.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.1P20/2010, complete genome
KF514398.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.10P20/2010, complete genome
KF514397.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c2P10/2009, complete genome
KF514396.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c3P10/2009, complete genome
KF514395.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c8P1/2009, complete genome
KF514394.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1P20/2009, complete genome
KF514393.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.10P20/2010, complete genome
KF514392.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.4P20/2010, complete genome
KF514391.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.9P20/2010, complete genome
KF514390.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c5.4P20/2010, complete genome
KF514389.1 SARS coronavirus ExoN1 strain SARS/VeroE6_lab/USA/ExoN1_c8P10/2009, complete genome
KF514388.1 SARS coronavirus wtic-MB strain SARS/VeroE6_lab/USA/WTic_c1.5P20/2010, complete genome
KF430201.1 Human coronavirus HKU1 strain HKU1/human/USA/HKU1-18/2010, complete genome
KF268339.1 Murine coronavirus strain MHV/BHKR_lab/USA/icA59_ns2M/2012, complete genome
KF268338.1 Murine coronavirus strain MHV/BHKR_lab/USA/icA59_L94P/2012, complete genome
KF268337.1 Murine coronavirus strain MHV/BHKR_lab/USA/icA59_17Cl1/2012, complete genome
KF268336.1 Murine coronavirus strain MHV/BHKR_lab/USA/infA59_H126A/2012, complete genome
KC175341.1 Canine coronavirus strain S378, complete genome
KC175340.1 Canine coronavirus strain K378, complete genome
KC175339.1 Canine coronavirus strain 171, complete genome
JN856008.2 Canine coronavirus strain A76, complete genome
JX169867.1 Murine coronavirus strain JHM.WU, complete genome
JX169866.1 Murine coronavirus strain JHM-WU-Dns2, complete genome
JQ765575.1 Human coronavirus NL63 strain NL63/DEN/2005/1876, complete genome
JQ765574.1 Human coronavirus NL63 strain NL63/DEN/2005/1862, complete genome
JQ765573.1 Human coronavirus NL63 strain NL63/DEN/2005/1062, complete genome
JQ765572.1 Human coronavirus NL63 strain NL63/DEN/2005/347, complete genome
JQ765571.1 Human coronavirus NL63 strain NL63/DEN/2005/271, complete genome
JQ765570.1 Human coronavirus NL63 strain NL63/DEN/2005/235, complete genome
JQ765569.1 Human coronavirus NL63 strain NL63/DEN/2005/232, complete genome
JQ765568.1 Human coronavirus NL63 strain NL63/DEN/2005/193, complete genome
JQ765567.1 Human coronavirus NL63 strain NL63/DEN/2009/20, complete genome
JQ765566.1 Human coronavirus NL63 strain NL63/DEN/2008/16, complete genome
JQ765565.1 Human coronavirus NL63 strain NL63/DEN/2009/15, complete genome
JQ765564.1 Human coronavirus NL63 strain NL63/DEN/2009/14, complete genome
JQ765563.1 Human coronavirus NL63 strain NL63/DEN/2009/9, complete genome
JN183883.1 Feline coronavirus UU54, complete genome
JN183882.1 Feline coronavirus UU47, complete genome
JF292922.1 SARS coronavirus ExoN1 isolate c5P1, complete genome
JF292921.1 SARS coronavirus wtic-MB isolate c1P1, complete genome
JF292920.1 SARS coronavirus MA15 isolate d3om5, complete genome
JF292919.1 SARS coronavirus MA15 isolate d3om4, complete genome
JF292918.1 SARS coronavirus MA15 isolate d3om3, complete genome
JF292917.1 SARS coronavirus MA15 isolate d3om2, complete genome
JF292916.1 SARS coronavirus MA15 isolate d3om1, complete genome
JF292915.1 SARS coronavirus MA15 isolate d4ym5, complete genome
JF292914.1 SARS coronavirus MA15 isolate d4ym4, complete genome
JF292913.1 SARS coronavirus MA15 isolate d4ym3, complete genome
JF292912.1 SARS coronavirus MA15 isolate d4ym2, complete genome
JF292911.1 SARS coronavirus MA15 isolate d4ym1, complete genome
JF292910.1 SARS coronavirus MA15 isolate d2ym5, complete genome
JF292909.1 SARS coronavirus MA15 isolate d2ym4, complete genome
JF292908.1 SARS coronavirus MA15 isolate d2ym3, complete genome
JF292907.1 SARS coronavirus MA15 isolate d2ym2, complete genome
JF292906.1 SARS coronavirus MA15 ExoN1 isolate d3om5, complete genome
JF292905.1 SARS coronavirus MA15 ExoN1 isolate d3om4, complete genome
JF292904.1 SARS coronavirus MA15 ExoN1 isolate d3om3, complete genome
JF292903.1 SARS coronavirus MA15 ExoN1 isolate d4ym5, complete genome
JF292902.1 SARS coronavirus MA15 ExoN1 isolate d4ym4, complete genome
HQ890546.1 SARS coronavirus MA15 isolate d2om5, complete genome
HQ890545.1 SARS coronavirus MA15 isolate d2om4, complete genome
HQ890544.1 SARS coronavirus MA15 isolate d2om3, complete genome
HQ890543.1 SARS coronavirus MA15 isolate d2om2, complete genome
HQ890542.1 SARS coronavirus MA15 isolate d2om1, complete genome
HQ890541.1 SARS coronavirus MA15 isolate d2ym1, complete genome
HQ890540.1 SARS coronavirus MA15 ExoN1 isolate d3om2, complete genome
HQ890539.1 SARS coronavirus MA15 ExoN1 isolate d3om1, complete genome
HQ890538.1 SARS coronavirus MA15 ExoN1 isolate d2om5, complete genome
HQ890537.1 SARS coronavirus MA15 ExoN1 isolate d2om4, complete genome
HQ890536.1 SARS coronavirus MA15 ExoN1 isolate d2om3, complete genome
HQ890535.1 SARS coronavirus MA15 ExoN1 isolate d2om2, complete genome
HQ890534.1 SARS coronavirus MA15 ExoN1 isolate d2om1, complete genome
HQ890533.1 SARS coronavirus MA15 ExoN1 isolate d4ym3, complete genome
HQ890532.1 SARS coronavirus MA15 ExoN1 isolate d4ym2, complete genome
HQ890531.1 SARS coronavirus MA15 ExoN1 isolate d4ym1, complete genome
HQ890530.1 SARS coronavirus MA15 ExoN1 isolate d2ym5, complete genome
HQ890529.1 SARS coronavirus MA15 ExoN1 isolate d2ym4, complete genome
HQ890528.1 SARS coronavirus MA15 ExoN1 isolate d2ym3, complete genome
HQ890527.1 SARS coronavirus MA15 ExoN1 isolate d2ym2, complete genome
HQ890526.1 SARS coronavirus MA15 ExoN1 isolate d2ym1, complete genome
LC053455.1 Porcine epidemic diarrhea virus genomic RNA, complete genome, isolate: AVCT12
KF430219.1 Bat coronavirus CDPHE15/USA/2006, complete genome
JX163928.1 SARS coronavirus isolate Tor2/FP1-10895, complete genome
JX163927.1 SARS coronavirus isolate Tor2/FP1-10851, complete genome
JX163926.1 SARS coronavirus isolate Tor2/FP1-10912, complete genome
JX163925.1 SARS coronavirus isolate Tor2/FP1-10895, complete genome
JX163924.1 SARS coronavirus isolate Tor2/FP1-10851, complete genome
JX163923.1 SARS coronavirus isolate Tor2/FP1-10912, complete genome
HQ392469.1 Feline coronavirus UU40, complete genome
HQ012372.1 Feline coronavirus UU34, complete genome
KM609213.1 Porcine epidemic diarrhea virus strain PEDV-WS, complete genome
KM609212.1 Porcine epidemic diarrhea virus strain PEDV-LYG, complete genome
KM609211.1 Porcine epidemic diarrhea virus strain PEDV-LS, complete genome
KM609210.1 Porcine epidemic diarrhea virus strain PEDV-LY, complete genome
KM609209.1 Porcine epidemic diarrhea virus strain PEDV-CHZ, complete genome
KM609208.1 Porcine epidemic diarrhea virus strain PEDV-15F, complete genome
KM609207.1 Porcine epidemic diarrhea virus strain PEDV-14, complete genome
KM609206.1 Porcine epidemic diarrhea virus strain PEDV-10F, complete genome
KM609205.1 Porcine epidemic diarrhea virus strain PEDV-8C, complete genome
KM609204.1 Porcine epidemic diarrhea virus strain PEDV-7C, complete genome
KM609203.1 Porcine epidemic diarrhea virus strain PEDV-1C, complete genome
KP887098.1 UNVERIFIED: Murine coronavirus strain AM2, complete genome
KM349744.1 Betacoronavirus HKU24 strain HKU24-R05010I, complete genome
KM349743.1 Betacoronavirus HKU24 strain HKU24-R05009I, complete genome
KM349742.1 Betacoronavirus HKU24 strain HKU24-R05005I, complete genome
KP981395.1 Porcine deltacoronavirus strain USA/IL/2014/026PDV_P11, complete genome
KP202848.1 Transmissible gastroenteritis virus isolate SHXB, complete genome
KC962433.1 Transmissible gastroenteritis virus isolate TGEV-HX, complete genome
KM213963.1 Infectious bronchitis virus isolate CK/CH/XDC- 2/2013, complete genome
KJ526096.1 Porcine epidemic diarrhea virus isolate CH/JX-2/2013, complete genome
KF760557.2 Porcine epidemic diarrhea virus strain CH/JX-1/2013, complete genome
KF931628.1 Infectious bronchitis virus isolate VicS-del, complete genome
KF460437.1 Infectious bronchitis virus isolate VicS-v, complete genome
KP162057.1 Porcine epidemic diarrhea virus isolate SC1402, complete genome
KP118893.1 Infectious bronchitis virus strain ck/CH/LSD/110410, complete genome
KP118892.1 Infectious bronchitis virus strain ck/CH/LLN/130101, complete genome
KP118891.1 Infectious bronchitis virus strain ck/CH/LHLJ/111246, complete genome
KP118890.1 Infectious bronchitis virus strain ck/CH/LHB/130578, complete genome
KP118889.1 Infectious bronchitis virus strain ck/CH/LHB/130575, complete genome
KP118888.1 Infectious bronchitis virus strain ck/CH/LLN/130102, complete genome
KP118887.1 Infectious bronchitis virus strain ck/CH/LHB/140532, complete genome
KP118886.1 Infectious bronchitis virus strain ck/CH/LSD/111235, complete genome
KP118885.1 Infectious bronchitis virus strain ck/CH/LSD/110857, complete genome
KP118884.1 Infectious bronchitis virus strain ck/CH/LSD/110851, complete genome
KP118883.1 Infectious bronchitis virus strain ck/CH/LHB/121041, complete genome
KP118882.1 Infectious bronchitis virus strain ck/CH/LBJ/140402, complete genome
KP118881.1 Infectious bronchitis virus strain ck/CH/LBJ/140413, complete genome
KP118880.1 Infectious bronchitis virus strain ck/CH/LHB/130927, complete genome
KP118894.1 Infectious bronchitis virus strain ck/CH/LGD/090907, complete genome
KJ361503.1 Middle East respiratory syndrome coronavirus isolate Hu-France - FRA2_130569-2013_Isolate_Sanger, complete genome
KJ361502.1 Middle East respiratory syndrome coronavirus isolate Hu-France - FRA2_130569-2013_InSpu_Sanger, complete genome
KJ361501.1 Middle East respiratory syndrome coronavirus isolate Hu-France - FRA2_130569-2013_IS_HTS, complete genome
KJ361500.1 Middle East respiratory syndrome coronavirus isolate Hu-France (UAE) - FRA1_1627-2013_BAL_Sanger, complete genome
KP036505.1 Infectious bronchitis virus strain ck/CH/LJL/130925, complete genome
KP036504.1 Infectious bronchitis virus strain ck/CH/LHB/130630, complete genome
KP036503.1 Infectious bronchitis virus strain ck/CH/LHB/121010, complete genome
KP143512.1 Feline coronavirus isolate 26M, complete genome
KP143511.1 Feline coronavirus isolate 80F, complete genome
KP143510.1 Feline coronavirus isolate 67F, complete genome
KP143509.1 Feline coronavirus isolate 65F, complete genome
KP143508.1 Feline coronavirus isolate 28O, complete genome
KP143507.1 Feline coronavirus isolate 27C, complete genome
KM887144.1 Porcine epidemic diarrhea virus isolate CHM2013, complete genome
KP719933.1 Middle East respiratory syndrome coronavirus isolate Camel/UAE/D1209/2014, complete genome
KP719932.1 Middle East respiratory syndrome coronavirus isolate Camel/UAE/D1243.12/2014, complete genome
KP719931.1 Middle East respiratory syndrome coronavirus isolate Camel/UAE/D1339.2/2014, complete genome
KP719930.1 Middle East respiratory syndrome coronavirus isolate Camel/UAE/D1164.14/2014, complete genome
KP719929.1 Middle East respiratory syndrome coronavirus isolate Camel/UAE/D1164.11/2014, complete genome
KP719928.1 Middle East respiratory syndrome coronavirus isolate Camel/UAE/D1164.10/2014, complete genome
KP719927.1 Middle East respiratory syndrome coronavirus isolate Camel/UAE/D1164.9/2014, complete genome
KF923906.1 Human coronavirus OC43 isolate 3194A/2012, complete genome
KF923900.1 Human coronavirus OC43 isolate 3647/2006, complete genome
KF923896.1 Human coronavirus OC43 isolate 3074A/2012, complete genome
KF923891.1 Human coronavirus OC43 isolate 5240/2007, complete genome
KF923888.1 Human coronavirus OC43 isolate 2145A/2010, complete genome
KM820765.1 Porcine deltacoronavirus KNU14-04, complete genome
KM242131.1 Porcine epidemic diarrhea virus strain CH/GDZQ/2014, complete genome
KM210278.1 Middle East respiratory syndrome coronavirus isolate England/3/2013, complete genome
KM210277.1 Middle East respiratory syndrome coronavirus isolate England/4/2013, complete genome
KP198611.1 Human coronavirus OC43 strain 1783A/10, complete genome
KP198610.1 Human coronavirus OC43 strain 2058A/10, complete genome
LM645057.1 Porcine epidemic diarrhea virus L00721/GER/2014, complete genome
LM645058.1 Porcine epidemic diarrhea GER/L00719/2014, complete genome
KP223131.1 Middle East respiratory syndrome coronavirus isolate Florida/USA-2_Saudi Arabia_2014, complete genome
KM403155.1 Porcine epidemic diarrhea virus isolate KNU-1406-1, complete genome
KJ958219.1 Human coronavirus OC43 strain LY342, complete genome
KJ958218.1 Human coronavirus OC43 strain LY341, complete genome
KC869678.4 Coronavirus Neoromicia/PML-PHE1/RSA/2011, complete genome
KF840537.1 Porcine epidemic diarrhea virus isolate CH/ZJCX-1/2012, complete genome
KJ196348.1 Porcine epidemic diarrhea virus strain SHQP/YM/2013, complete genome
KM392230.1 Porcine epidemic diarrhea virus strain TC PC180-P2, complete genome
KM392229.1 Porcine epidemic diarrhea virus strain TC PC177-P2, complete genome
KM392228.1 Porcine epidemic diarrhea virus strain TC-PC173-P2, complete genome
KM392227.1 Porcine epidemic diarrhea virus strain TC PC170-P2, complete genome
KM392225.1 Porcine epidemic diarrhea virus strain TC PE103(PC21A)-P4, complete genome
KM392232.1 Porcine epidemic diarrhea virus strain TC Iowa106 (PV39)-P1, complete genome
KM392231.1 Porcine epidemic diarrhea virus strain TC PC182-P2, complete genome
KM392226.1 Porcine epidemic diarrhea virus strain TC PC168-P2, complete genome
KM392224.1 Porcine epidemic diarrhea virus strain TC PC22A-P10, complete genome
KM012168.1 Porcine coronavirus HKU15 strain Michigan/8977/2014, complete genome
KM189367.2 Porcine epidemic diarrhea virus isolate ON-018, complete genome
KJ184549.1 Porcine epidemic diarrhea virus strain USA/KS/2013, complete genome
KJ650098.1 Middle East respiratory syndrome coronavirus isolate Camel/Qatar_2_2014, complete genome
KM052365.1 Porcine epidemic diarrhea virus strain NPL-PEDv/2013/p10.1, complete genome
KJ588064.1 Porcine epidemic diarrhea virus isolate KUIDL-PED-2014-001, complete genome
KJ588063.1 Porcine epidemic diarrhea virus isolate KUIDL-PED-2014-002, complete genome
KJ588062.1 Porcine epidemic diarrhea virus isolate KUIDL-PED-2014-007, complete genome
KF663559.1 Infectious bronchitis virus isolate ck/CH/IBTZ/2012, complete genome
KM077139.1 Porcine epidemic diarrhea virus strain PEDV/USA/Minnesota188/2014, complete genome
KJ960180.1 Porcine epidemic diarrhea virus clone VN/KCHY-310113/2013/KhoaiChau/HungYen/Vietnam, complete genome
KJ960179.1 Porcine epidemic diarrhea virus clone VN/VAP1113_1/2013/Vung Tua/Vietnam, complete genome
KJ960178.1 Porcine epidemic diarrhea virus clone VN/JFP1013_1/2013/Vinh An/Vietnam, complete genome
KJ777678.1 Porcine epidemic diarrhea virus strain LZW isolate CPGEN_20140427, complete genome
KJ777677.1 Porcine epidemic diarrhea virus strain LZW isolate FGE_20140427, complete genome
KJ601780.1 Deltacoronavirus PDCoV/USA/Ohio137/2014 from USA, complete genome
KJ601779.1 Deltacoronavirus PDCoV/USA/Illinois136/2014 from USA, complete genome
KJ601778.1 Deltacoronavirus PDCoV/USA/Illinois134/2014 from USA, complete genome
KJ601777.1 Deltacoronavirus PDCoV/USA/Illinois133/2014 from USA, complete genome
KJ650297.1 Middle East respiratory syndrome coronavirus isolate KFU-HKU 1, complete genome
KJ650296.1 Middle East respiratory syndrome coronavirus isolate KFU-HKU 19Dam, complete genome
KJ650295.1 Middle East respiratory syndrome coronavirus isolate KFU-HKU 13, complete genome
KJ462462.1 Porcine coronavirus HKU15 strain OH1987, complete genome
KF600652.1 Middle East respiratory syndrome coronavirus isolate Riyadh_2_2012, complete genome
KF600651.1 Middle East respiratory syndrome coronavirus isolate Al-Hasa_18_2013, complete genome
KF600647.1 Middle East respiratory syndrome coronavirus isolate Al-Hasa_17_2013, complete genome
KF600645.1 Middle East respiratory syndrome coronavirus isolate Al-Hasa_15_2013, complete genome
KF600644.1 Middle East respiratory syndrome coronavirus isolate Al-Hasa_16_2013, complete genome
KF600634.1 Middle East respiratory syndrome coronavirus isolate Al-Hasa_21_2013, complete genome
KF600632.1 Middle East respiratory syndrome coronavirus isolate Al-Hasa_19_2013, complete genome
KF600630.1 Middle East respiratory syndrome coronavirus isolate Buraidah_1_2013, complete genome
KF600628.1 Middle East respiratory syndrome coronavirus isolate Hafr-Al-Batin_1_2013, complete genome
KF600627.1 Middle East respiratory syndrome coronavirus isolate Al-Hasa_12_2013, complete genome
KF600620.1 Middle East respiratory syndrome coronavirus isolate Bisha_1_2012, complete genome
KF600613.1 Middle East respiratory syndrome coronavirus isolate Riyadh_3_2013, complete genome
KF600612.1 Middle East respiratory syndrome coronavirus isolate Riyadh_1_2012, complete genome
KF192507.1 Middle East respiratory syndrome coronavirus, complete genome
KF186565.1 Middle East respiratory syndrome coronavirus isolate Al-Hasa_3_2013, complete genome
KF186567.1 Middle East respiratory syndrome coronavirus isolate Al-Hasa_1_2013, complete genome
KF186566.1 Middle East respiratory syndrome coronavirus isolate Al-Hasa_2_2013, complete genome
KF186564.1 Middle East respiratory syndrome coronavirus isolate Al-Hasa_4_2013, complete genome
KC506155.1 Infectious bronchitis virus strain ck/CH/LJL/111054, complete genome
KJ662670.1 Porcine epidemic diarrhea virus isolate KNU-1305, complete genome
KJ158152.1 Porcine epidemic diarrhea virus strain AH-M, complete genome
KM015348.1 Middle East respiratory syndrome coronavirus isolate England/2/2013, complete genome
KJ778616.1 Porcine epidemic diarrhea virus isolate NPL-PEDv/2013/P10, complete genome
KJ778615.1 Porcine epidemic diarrhea virus isolate NPL-PEDv/2013, complete genome
KJ614529.1 Human betacoronavirus 2c Jordan-N3/2012 isolate MG167, complete genome
KJ623926.1 Porcine epidemic diarrhea virus strain K14JB01, complete genome
KJ620016.1 Porcine coronavirus HKU15 strain MI6148, complete genome
KF958702.1 Middle East respiratory syndrome coronavirus isolate MERS-CoV-Jeddah-human-1, complete genome
KF917527.1 Middle East respiratory syndrome coronavirus isolate MERS-CoV-Jeddah-Camel-1, complete genome
KJ584359.1 Porcine coronavirus HKU15 strain NE3579, complete genome
KJ584358.1 Porcine coronavirus HKU15 strain PA3148, complete genome
KJ584357.1 Porcine coronavirus HKU15 strain KY4813, complete genome
KJ584356.1 Porcine coronavirus HKU15 strain SD3424, complete genome
KJ584355.1 Porcine coronavirus HKU15 strain IL2768, complete genome
KJ481931.1 Deltacoronavirus PDCoV/USA/Illinois121/2014 from USA, complete genome
KF569996.1 Rhinolophus affinis coronavirus isolate LYRa11, complete genome
KJ556336.1 Middle East respiratory syndrome coronavirus isolate Jeddah_1_2013, complete genome
KJ477102.1 Middle East respiratory syndrome coronavirus, complete genome
KJ829365.1 Middle East respiratory syndrome coronavirus strain Florida/USA-2_Saudi Arabia_2014, complete genome
KJ408801.1 Porcine epidemic diarrhea virus strain OH1414, complete genome
KJ713299.1 Middle East respiratory syndrome coronavirus isolate KSA-CAMEL-376, complete genome
KJ713298.1 Middle East respiratory syndrome coronavirus isolate KSA-CAMEL-363, complete genome
KJ713297.1 Middle East respiratory syndrome coronavirus isolate KSA-CAMEL-503, complete genome
KJ713296.1 Middle East respiratory syndrome coronavirus isolate KSA-CAMEL-378, complete genome
KJ713295.1 Middle East respiratory syndrome coronavirus isolate KSA-CAMEL-505, complete genome
KJ569769.1 Porcine coronavirus HKU15 strain IN2847, complete genome
KJ020932.1 Porcine epidemic diarrhea virus isolate CHYJ130330, complete genome
KF906251.1 Dromedary camel coronavirus HKU23 strain HKU23-368F, complete genome
KF906250.1 Dromedary camel coronavirus HKU23 strain HKU23-362F, complete genome
KF906249.1 Dromedary camel coronavirus HKU23 strain HKU23-265F, complete genome
KJ135013.1 Infectious bronchitis virus isolate IBVUkr27-11, complete genome
KJ128295.1 Infectious bronchitis virus isolate CK/CH/SD/121220, complete genome
KJ156952.1 Middle East respiratory syndrome coronavirus isolate Riyadh_4_2013, complete genome
KJ156949.1 Middle East respiratory syndrome coronavirus isolate Taif_1_2013, complete genome
KJ156944.1 Middle East respiratory syndrome coronavirus isolate Riyadh_5_2013, complete genome
KJ156934.1 Middle East respiratory syndrome coronavirus isolate Riyadh_14_2013, complete genome
KJ156910.1 Middle East respiratory syndrome coronavirus isolate Hafr-Al-Batin_2_2013, complete genome
KJ156881.1 Middle East respiratory syndrome coronavirus isolate Wadi-Ad-Dawasir_1_2013, complete genome
KJ156874.1 Middle East respiratory syndrome coronavirus isolate Hafr-Al-Batin_6_2013, complete genome
KJ156869.1 Middle East respiratory syndrome coronavirus isolate Riyadh_9_2013, complete genome
KJ156866.1 Middle East respiratory syndrome coronavirus isolate Al-Hasa_25_2013, complete genome
KJ399978.1 Porcine epidemic diarrhea virus strain OH851, complete genome
KF793826.1 Bottlenose dolphin coronavirus HKU22 isolate CF090331, complete genome
KF793825.1 Bottlenose dolphin coronavirus HKU22 isolate CF090327, complete genome
KF793824.1 Bottlenose dolphin coronavirus HKU22 isolate CF090325, complete genome
KC545386.1 Betacoronavirus Erinaceus/VMC/DEU/2012 isolate ErinaceusCoV/2012-216/GER/2012, complete genome
KC545383.1 Betacoronavirus Erinaceus/VMC/DEU/2012 isolate ErinaceusCoV/2012-174/GER/2012, complete genome
KF853202.1 Infectious bronchitis virus isolate SDZB0808, complete genome
KF961222.1 Middle East respiratory syndrome coronavirus isolate Qatar4, complete genome
KF961221.1 Middle East respiratory syndrome coronavirus isolate Qatar3, complete genome
KC461237.1 Feline infectious peritonitis virus isolate FCoVWSU791146_P50, complete genome
KC461236.1 Feline infectious peritonitis virus isolate FCoVWSU791146_P8, complete genome
KC461235.1 Feline infectious peritonitis virus isolate FCoVWSU791146_P1, complete genome
KF804028.1 Porcine epidemic diarrhea virus isolate USA/Iowa/18984/2013, complete genome
KF650375.1 Porcine epidemic diarrhea virus isolate ISU13-22038-IA-passage9, complete genome
KF650374.1 Porcine epidemic diarrhea virus isolate ISU13-22038-IA-passage3, complete genome
KF650373.1 Porcine epidemic diarrhea virus isolate ISU13-22038-IA-homogenate, complete genome
KF650372.1 Porcine epidemic diarrhea virus isolate ISU13-19338E-IN-passage9, complete genome
KF650371.1 Porcine epidemic diarrhea virus isolate ISU13-19338E-IN-passage3, complete genome
KF650370.1 Porcine epidemic diarrhea virus isolate ISU13-19338E-IN-homogenate, complete genome
KF452323.1 Porcine epidemic diarrhea virus strain USA/Indiana/17846/2013, complete genome
KF452322.1 Porcine epidemic diarrhea virus strain USA/Iowa/16465/2013, complete genome
KF696629.1 Infectious bronchitis virus strain Connecticut vaccine, complete genome
KF668605.1 Infectious bronchitis virus isolate CK/CH/SD09/005, complete genome
KF663561.1 Infectious bronchitis virus isolate ck/CH/IBYZ/2011, complete genome
KF663560.1 Infectious bronchitis virus isolate ck/CH/IBWF/2007, complete genome
KF745068.1 Middle East respiratory syndrome coronavirus isolate FRA/UAE, complete genome
KC881006.1 Bat SARS-like coronavirus Rs3367, complete genome
KC881005.1 Bat SARS-like coronavirus RsSHC014, complete genome
KF468752.1 Porcine epidemic diarrhea virus isolate MN, complete genome
KF411041.1 Infectious bronchitis virus strain CK/CH/LGX/091109, complete genome
KF411040.1 Infectious bronchitis virus strain CK/CH/LLN/111169, complete genome
KF367457.1 Bat SARS-like coronavirus WIV1, complete genome
KF574761.1 Infectious bronchitis virus isolate SDIB821/2012, complete genome
KC008600.1 Infectious bronchitis virus, complete genome
